branch,loops,padding_size,existing_memory_kb,existing_status,new_memory_kb,new_status
10,1300,1000,2246992,ok,315844,ok
10,1300,1100,2384672,ok,329688,ok
10,1300,1200,2502572,ok,341580,ok
10,1300,1300,2620644,ok,353460,ok
10,1300,1400,2738560,ok,365356,ok
10,1300,1500,2876432,ok,378832,ok
10,1300,1600,2994456,ok,390716,ok
10,1300,1700,3112300,ok,402596,ok
10,1300,1800,3230512,ok,414480,ok
10,1300,1900,3368104,ok,428108,ok
10,1300,2000,3486212,ok,439860,ok
10,1300,2100,3603824,ok,451732,ok
10,1300,2200,3722108,ok,463604,ok
10,1300,2300,3860004,ok,477252,ok
10,1300,2400,3977972,ok,489128,ok
10,1300,2500,4095948,ok,500876,ok
10,1300,2600,4214096,ok,512748,ok
10,1300,2700,4351668,ok,526396,ok
10,1300,2800,4468724,ok,538272,ok
10,1300,2900,4587004,ok,550140,ok
10,1300,3000,4705144,ok,562016,ok
10,1300,3100,4842700,ok,575608,ok
10,1300,3200,4960892,ok,587308,ok
10,1300,3300,5078736,ok,599188,ok
10,1300,3400,5196748,ok,611152,ok
10,1300,3500,5334524,ok,624820,ok
10,1300,3600,5452660,ok,636688,ok
10,1300,3700,5570808,ok,648368,ok
10,1300,3800,5688444,ok,660300,ok
10,1300,3900,5826544,ok,673968,ok
10,1300,4000,5944436,ok,685836,ok
10,1400,0,1084012,ok,199572,ok
10,1400,100,1231716,ok,214328,ok
10,1400,200,1358860,ok,227096,ok
10,1400,300,1507272,ok,241876,ok
10,1400,400,1634200,ok,254648,ok
10,1400,500,1761404,ok,267260,ok
10,1400,600,1888420,ok,280036,ok
10,1400,700,2036436,ok,294940,ok
10,1400,800,2163720,ok,307480,ok
10,1400,900,2290644,ok,320324,ok
10,1400,1000,2417744,ok,332972,ok
10,1400,1100,2565484,ok,347876,ok
10,1400,1200,2692776,ok,360680,ok
10,1400,1300,2819956,ok,373464,ok
10,1400,1400,2946888,ok,386264,ok
10,1400,1500,3095116,ok,400788,ok
10,1400,1600,3222292,ok,413600,ok
10,1400,1700,3348844,ok,426392,ok
10,1400,1800,3476016,ok,439180,ok
10,1400,1900,3624252,ok,453876,ok
10,1400,2000,3751300,ok,466536,ok
10,1400,2100,3878352,ok,479312,ok
10,1400,2200,4005420,ok,492104,ok
10,1400,2300,4153768,ok,506804,ok
10,1400,2400,4280820,ok,519588,ok
10,1400,2500,4407728,ok,532372,ok
10,1400,2600,4534804,ok,545032,ok
10,1400,2700,4682672,ok,559748,ok
10,1400,2800,4809208,ok,572532,ok
10,1400,2900,4936192,ok,585300,ok
10,1400,3000,5063672,ok,598084,ok
10,1400,3100,5211640,ok,612808,ok
10,1400,3200,5338880,ok,625452,ok
10,1400,3300,5465548,ok,638180,ok
10,1400,3400,5592956,ok,651012,ok
10,1400,3500,5741052,ok,665736,ok
10,1400,3600,5867896,ok,678520,ok
10,1400,3700,5995056,ok,691168,ok
10,1400,3800,6121920,ok,703940,ok
10,1400,3900,6270332,ok,718676,ok
10,1400,4000,6397432,ok,731340,ok
10,1500,0,1160176,ok,207152,ok
10,1500,100,1318496,ok,222960,ok
10,1500,200,1454732,ok,236640,ok
10,1500,300,1613364,ok,252484,ok
10,1500,400,1749400,ok,266160,ok
10,1500,500,1885560,ok,279684,ok
10,1500,600,2021540,ok,293372,ok
10,1500,700,2180176,ok,309332,ok
10,1500,800,2316164,ok,322888,ok
10,1500,900,2452480,ok,336544,ok
10,1500,1000,2588492,ok,350096,ok
10,1500,1100,2746756,ok,366060,ok
10,1500,1200,2882948,ok,379776,ok
10,1500,1300,3018980,ok,393472,ok
10,1500,1400,3154792,ok,407176,ok
10,1500,1500,3314060,ok,422780,ok
10,1500,1600,3449880,ok,436396,ok
10,1500,1700,3585768,ok,450184,ok
10,1500,1800,3721776,ok,463840,ok
10,1500,1900,3880740,ok,479636,ok
10,1500,2000,4016516,ok,493212,ok
10,1500,2100,4152656,ok,506856,ok
10,1500,2200,4288580,ok,520532,ok
10,1500,2300,4447524,ok,536364,ok
10,1500,2400,4583316,ok,550052,ok
10,1500,2500,4719540,ok,563744,ok
10,1500,2600,4855380,ok,577312,ok
10,1500,2700,5013856,ok,593084,ok
10,1500,2800,5149500,ok,606672,ok
10,1500,2900,5285756,ok,620460,ok
10,1500,3000,5422200,ok,634156,ok
10,1500,3100,5580540,ok,649940,ok
10,1500,3200,5716684,ok,663496,ok
10,1500,3300,5852396,ok,677112,ok
10,1500,3400,5988860,ok,690876,ok
10,1500,3500,6147576,ok,706564,ok
10,1500,3600,6283384,ok,720356,ok
10,1500,3700,6419576,ok,733908,ok
10,1500,3800,6555412,ok,747596,ok
10,1500,3900,6714356,ok,763308,ok
10,1500,4000,6850420,ok,776984,ok
10,1600,0,1236164,ok,214660,ok
10,1600,100,1405060,ok,231604,ok
10,1600,200,1550476,ok,246192,ok
10,1600,300,1719624,ok,263092,ok
10,1600,400,1864596,ok,277676,ok
10,1600,500,2009720,ok,292116,ok
10,1600,600,2154660,ok,306656,ok
10,1600,700,2323924,ok,323600,ok
10,1600,800,2468996,ok,338192,ok
10,1600,900,2614016,ok,352760,ok
10,1600,1000,2759120,ok,367220,ok
10,1600,1100,2928164,ok,384244,ok
10,1600,1200,3073324,ok,398868,ok
10,1600,1300,3218292,ok,413476,ok
10,1600,1400,3363272,ok,428088,ok
10,1600,1500,3532432,ok,444760,ok
10,1600,1600,3677592,ok,459368,ok
10,1600,1700,3822572,ok,473976,ok
10,1600,1800,3967664,ok,488580,ok
10,1600,1900,4136756,ok,505404,ok
10,1600,2000,4281856,ok,519884,ok
10,1600,2100,4426960,ok,534480,ok
10,1600,2200,4572076,ok,549084,ok
10,1600,2300,4741156,ok,565916,ok
10,1600,2400,4886136,ok,580516,ok
10,1600,2500,5031036,ok,595112,ok
10,1600,2600,5176272,ok,609592,ok
10,1600,2700,5345456,ok,626432,ok
10,1600,2800,5490168,ok,641032,ok
10,1600,2900,5635328,ok,655620,ok
10,1600,3000,5780472,ok,670228,ok
10,1600,3100,5949304,ok,687068,ok
10,1600,3200,6094460,ok,701424,ok
10,1600,3300,6239608,ok,716132,ok
10,1600,3400,6384504,ok,730736,ok
10,1600,3500,6553840,ok,747584,ok
10,1600,3600,6698716,ok,762184,ok
10,1600,3700,6843784,ok,776644,ok
10,1600,3800,6989180,ok,791244,ok
10,1600,3900,7158260,ok,808100,ok
10,1600,4000,7303412,ok,822696,ok
10,1700,0,1312368,ok,222304,ok
10,1700,100,1491940,ok,240240,ok
10,1700,200,1645960,ok,255740,ok
10,1700,300,1825736,ok,273696,ok
10,1700,400,1979796,ok,289200,ok
10,1700,500,2133880,ok,304544,ok
10,1700,600,2287904,ok,320044,ok
10,1700,700,2467668,ok,338132,ok
10,1700,800,2621704,ok,353500,ok
10,1700,900,2775684,ok,368972,ok
10,1700,1000,2929740,ok,384348,ok
10,1700,1100,3109208,ok,402432,ok
10,1700,1200,3263152,ok,417956,ok
10,1700,1300,3417504,ok,433480,ok
10,1700,1400,3571652,ok,448996,ok
10,1700,1500,3751168,ok,466736,ok
10,1700,1600,3905304,ok,482248,ok
10,1700,1700,4059240,ok,497764,ok
10,1700,1800,4213260,ok,513280,ok
10,1700,1900,4393124,ok,531160,ok
10,1700,2000,4547204,ok,546548,ok
10,1700,2100,4700948,ok,562056,ok
10,1700,2200,4855084,ok,577568,ok
10,1700,2300,5034920,ok,595468,ok
10,1700,2400,5188984,ok,610976,ok
10,1700,2500,5343056,ok,626484,ok
10,1700,2600,5497040,ok,641864,ok
10,1700,2700,5676720,ok,659764,ok
10,1700,2800,5830404,ok,675268,ok
10,1700,2900,5984508,ok,690756,ok
10,1700,3000,6138872,ok,706292,ok
10,1700,3100,6318392,ok,724200,ok
10,1700,3200,6472360,ok,739524,ok
10,1700,3300,6626676,ok,755048,ok
10,1700,3400,6780664,ok,770592,ok
10,1700,3500,6960036,ok,788504,ok
10,1700,3600,7114104,ok,804004,ok
10,1700,3700,7268344,ok,819384,ok
10,1700,3800,7422460,ok,834892,ok
10,1700,3900,7602160,ok,852808,ok
10,1700,4000,7756152,ok,868240,ok
10,1800,0,1388144,ok,229880,ok
10,1800,100,1578592,ok,248804,ok
10,1800,200,1741452,ok,265288,ok
10,1800,300,1931848,ok,284208,ok
10,1800,400,2094872,ok,300616,ok
10,1800,500,2257916,ok,316972,ok
10,1800,600,2420900,ok,333376,ok
10,1800,700,2611152,ok,352524,ok
10,1800,800,2774152,ok,368808,ok
10,1800,900,2937220,ok,385188,ok
10,1800,1000,3100012,ok,401476,ok
10,1800,1100,3290532,ok,420548,ok
10,1800,1200,3453480,ok,437056,ok
10,1800,1300,3616500,ok,453444,ok
10,1800,1400,3779656,ok,469908,ok
10,1800,1500,3969808,ok,488712,ok
10,1800,1600,4132888,ok,505108,ok
10,1800,1700,4295916,ok,521560,ok
10,1800,1800,4458784,ok,537980,ok
10,1800,1900,4649124,ok,556924,ok
10,1800,2000,4812032,ok,573220,ok
10,1800,2100,4975188,ok,589644,ok
10,1800,2200,5138344,ok,606064,ok
10,1800,2300,5328552,ok,625020,ok
10,1800,2400,5491576,ok,641436,ok
10,1800,2500,5654608,ok,657860,ok
10,1800,2600,5817548,ok,674144,ok
10,1800,2700,6007860,ok,693112,ok
10,1800,2800,6170688,ok,709528,ok
10,1800,2900,6333948,ok,725944,ok
10,1800,3000,6497016,ok,742236,ok
10,1800,3100,6687228,ok,761328,ok
10,1800,3200,6850176,ok,777620,ok
10,1800,3300,7013240,ok,794036,ok
10,1800,3400,7176316,ok,810452,ok
10,1800,3500,7366396,ok,829328,ok
10,1800,3600,7529592,ok,845836,ok
10,1800,3700,7692664,ok,862124,ok
10,1800,3800,7855612,ok,878532,ok
10,1800,3900,8045572,ok,897516,ok
10,1800,4000,8208888,ok,913924,ok
10,1900,0,1469364,ok,237460,ok
10,1900,100,1670756,ok,257516,ok
10,1900,200,1842828,ok,274832,ok
10,1900,300,2043136,ok,294916,ok
10,1900,400,2215192,ok,312236,ok
10,1900,500,2387196,ok,329420,ok
10,1900,600,2559284,ok,346716,ok
10,1900,700,2760020,ok,366928,ok
10,1900,800,2932232,ok,384112,ok
10,1900,900,3102980,ok,401412,ok
10,1900,1000,3274704,ok,418600,ok
10,1900,1100,3475876,ok,438804,ok
10,1900,1200,3647916,ok,456148,ok
10,1900,1300,3819632,ok,473488,ok
10,1900,1400,3991876,ok,490820,ok
10,1900,1500,4192780,ok,510684,ok
10,1900,1600,4364948,ok,528016,ok
10,1900,1700,4536812,ok,545224,ok
10,1900,1800,4709040,ok,562684,ok
10,1900,1900,4909736,ok,582696,ok
10,1900,2000,5081732,ok,599896,ok
10,1900,2100,5253688,ok,617220,ok
10,1900,2200,5425708,ok,634556,ok
10,1900,2300,5626788,ok,654576,ok
10,1900,2400,5798776,ok,671904,ok
10,1900,2500,5970640,ok,689224,ok
10,1900,2600,6142928,ok,706428,ok
10,1900,2700,6343220,ok,726452,ok
10,1900,2800,6515444,ok,743780,ok
10,1900,2900,6687616,ok,761104,ok
10,1900,3000,6859512,ok,778380,ok
10,1900,3100,7060216,ok,798356,ok
10,1900,3200,7232124,ok,815656,ok
10,1900,3300,7403904,ok,832888,ok
10,1900,3400,7575936,ok,850304,ok
10,1900,3500,7776764,ok,870344,ok
10,1900,3600,7949048,ok,887664,ok
10,1900,3700,8120696,ok,904860,ok
10,1900,3800,8292504,ok,922188,ok
10,1900,3900,8493552,ok,942224,ok
10,1900,4000,8665716,ok,959544,ok
10,2000,0,1545584,ok,245172,ok
10,2000,100,1757408,ok,266024,ok
10,2000,200,1938276,ok,284252,ok
10,2000,300,2149384,ok,305524,ok
10,2000,400,2330212,ok,323752,ok
10,2000,500,2511356,ok,341828,ok
10,2000,600,2692388,ok,360016,ok
10,2000,700,2903760,ok,381320,ok
10,2000,800,3084676,ok,399420,ok
10,2000,900,3264640,ok,417628,ok
10,2000,1000,3445456,ok,435724,ok
10,2000,1100,3656864,ok,456988,ok
10,2000,1200,3837868,ok,475244,ok
10,2000,1300,4018932,ok,493488,ok
10,2000,1400,4200136,ok,511736,ok
10,2000,1500,4411408,ok,532660,ok
