branch,loops,padding_size,existing_memory_kb,existing_status,new_memory_kb,new_status
10,1000,0,779460,ok,746312,ok
10,1000,100,884744,ok,848744,ok
10,1000,200,975920,ok,936296,ok
10,1000,300,1082224,ok,1038312,ok
10,1000,400,1173456,ok,1126124,ok
10,1000,500,1264512,ok,1213800,ok
10,1000,600,1355696,ok,1301484,ok
10,1000,700,1461536,ok,1403628,ok
10,1000,800,1552776,ok,1491304,ok
10,1000,900,1644100,ok,1578856,ok
10,1000,1000,1734712,ok,1666284,ok
10,1000,1100,1840840,ok,1768568,ok
10,1000,1200,1932072,ok,1856188,ok
10,1000,1300,2023140,ok,1943748,ok
10,1000,1400,2113880,ok,2031340,ok
10,1000,1500,2220136,ok,2133644,ok
10,1000,1600,2311376,ok,2221220,ok
10,1000,1700,2402152,ok,2309100,ok
10,1000,1800,2492892,ok,2396780,ok
10,1000,1900,2599564,ok,2498924,ok
10,1000,2000,2690396,ok,2586604,ok
10,1000,2100,2781388,ok,2674156,ok
10,1000,2200,2872484,ok,2761836,ok
10,1000,2300,2978736,ok,2864108,ok
10,1000,2400,3069788,ok,2951664,ok
10,1000,2500,3160768,ok,3039340,ok
10,1000,2600,3251856,ok,3126736,ok
10,1000,2700,3357572,ok,3229036,ok
10,1000,2800,3447300,ok,3316588,ok
10,1000,2900,3538300,ok,3404284,ok
10,1000,3000,3629884,ok,3492076,ok
10,1000,3100,3735812,ok,3594212,ok
10,1000,3200,3827024,ok,3681900,ok
10,1000,3300,3918076,ok,3769452,ok
10,1000,3400,4009336,ok,3856872,ok
10,1000,3500,4115332,ok,3959400,ok
10,1000,3600,4206220,ok,4046956,ok
10,1000,3700,4297612,ok,4134640,ok
10,1000,3800,4388268,ok,4222196,ok
10,1000,3900,4494832,ok,4324468,ok
10,1000,4000,4585492,ok,4412148,ok
10,1100,0,881348,ok,816236,ok
10,1100,100,995464,ok,928104,ok
10,1100,200,1093828,ok,1023976,ok
10,1100,300,1208500,ok,1135852,ok
10,1100,400,1306832,ok,1231720,ok
10,1100,500,1405312,ok,1327596,ok
10,1100,600,1503536,ok,1423468,ok
10,1100,700,1618340,ok,1535208,ok
10,1100,800,1716632,ok,1631080,ok
10,1100,900,1814980,ok,1726956,ok
10,1100,1000,1913220,ok,1822832,ok
10,1100,1100,2027904,ok,1934700,ok
10,1100,1200,2126248,ok,2030444,ok
10,1100,1300,2224488,ok,2126448,ok
10,1100,1400,2322596,ok,2222312,ok
10,1100,1500,2439180,ok,2334188,ok
10,1100,1600,2539032,ok,2429872,ok
